Alert Fault code #,Alert message,Meaning,Color,Vehicle immediate response,Vehicle sends fault to AVCS?,Vehicle sends mi_request?,Severity,AVC Action, Remote Operator Action,Last Updated Version,Categorization,Ops Troubleshoot Guide,Notes,Stop Reason,PSA,KN,ABT,BNS,Rationale,Internal Comments,"trigger
breakdown",FT reference,Associated Reasons,,,,,,,,,,,,,,,,,,,,,
20,Middleware Fault 1,The vehicle has a middleware fault present.,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.39.13,"Venti /
Middleware"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,Implemented,N/A,,Second pc launch timeout,,,,,,,,,,,,,,,,,,,,,,,,
22,Critically High GPU Memory Usage,GPU memory usage is abnormally high (> 90%).,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",unreleased,"Hardware /
Computer"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,Implemented,Tested,,,,,"GPU memory usage as float
Value > 90.0",,,,,,,,,,,,,,,,,,,,,
23,GPU Temperature Over Threshold,GPU temperature is abnormally high (> 95°C).,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Computer","1. Ensure that A/C's is cold and  air flow is at max position if not, shutdown for 10min to cool down the system. Then resume.
2. If alert persist, report SR to check further.",,TRUE,Tested,Tested,Implemented,Tested,,,,,"GPU temperature as float
Value > 90.0",,,,,,,,,,,,,,,,,,,,,
24,GPU Utilization Over Threshold,GPU utilization is abnormally high (> 95%).,Amber - Action Required,,No,No,WARNING,,,v5.33.31,"Hardware /
Computer"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,FALSE,Tested,Tested,Implemented,Tested,,,,,"GPU utilization as float
Value > 95.0",,,,,,,,,,,,,,,,,,,,,
25,Perception System Warning: High Latency 1,"The vehicle detects that the perception system is unresponsive, detected objects may not be accurate.",Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.39.13,"Venti /
Middleware"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,Implemented,N/A,,/golfcart/process_time/golfcart/combine_all_obstacles 1s timeout,,,,,,,,,,,,,,,,,,,,,,,,
26,Remote Operations High Latency,The connection from the vehicle to the remote console has high latency. This alert and corresponding behavior only happens 10 seconds within the remote operator performing an action on the remote console.,Red - Action Required,Vehicle performs Safe Stop and then Pause,No,"Yes, Non-Technical MI",INFO,,"Establish that the vehicle can be linked up to, otherwise feedback to AVCS Supervisor to consider service recovery. Press Resume to continue operations.",v6.6.13,"Manual Intervention /
Network"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Implemented,Implemented,N/A,,,,,"Latency in ms as double
Value > 500.0",,,,,,,,,,,,,,,,,,,,,
27,Perception System Warning: High Latency 2,"The vehicle detects that the perception system is unresponsive, detected objects may not be accurate.",Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.39.13,"Venti /
Middleware"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,Implemented,N/A,,/golfcart/process_time/detection_and_tracking_node 1s timeout,,,,,,,,,,,,,,,,,,,,,,,,
28,Perception System Warning: High Latency 3,"The vehicle detects that the perception system is unresponsive, detected objects may not be accurate.",Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.39.13,"Venti /
Middleware"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,N/A,N/A,N/A,,/golfcart/process_time/golfcart/on_off_road_obstacles 1s timeout,,,,,,,,,,,,,,,,,,,,,,,,
30,Low Disk Space (/root),Disk space is close to full capacity (> 90%).,Amber - Action Required,,Yes,No,WARNING,Log disk swap required,,v5.33.31,"Hardware /
Computer","1. If alert persist, report SR to check further.",Venti: Check on how long APM can run in this state,FALSE,Tested,Tested,Implemented,Tested,,,,,"Hard drive usage as float
90 < Value <= 98",,,,,,,,,,,,,,,,,,,,,
31,Remote Operations Emergency Brake Activated,The vehicle detects that the remote operations emergency brake is activated. This is performed by the remote operator through the remote console during emergency situations.,Red - Action Required,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",INFO,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.42.3,"Manual Intervention /
Emergency Response","1. Check with remote operator to verify if trigger from remote console side.
2. If alert persist, perform a soft reboot.
3. If alert persist, report SR to check further.",,TRUE,Tested,Implemented,Implemented,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Localization System Warning: High Latency 1,"The vehicle detects that the localization system is unresponsive, it may have difficulty determining its current location.",Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.39.13,"Venti /
Middleware"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,N/A,N/A,N/A,,vertical_points 1s timeout,,,,,,,,,,,,,,,,,,,,,,,,
33,Localization System Warning: High Latency 2,"The vehicle detects that the localization system is unresponsive, it may have difficulty determining its current location.",Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.39.13,"Venti /
Middleware"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,N/A,N/A,N/A,,all_localization_features 1s timeout,,,,,,,,,,,,,,,,,,,,,,,,
34,Navigation System Warning: High Latency 1,The vehicle detects that the navigation system is unresponsive.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.39.13,"Venti /
Middleware"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,cmd_vel_tmp (dynamic speed) 1s timeout,,,,,,,,,,,,,,,,,,,,,,,,
36,Middleware Fault 2,The autonomy software has a middleware fault present.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.39.13,"Venti /
Middleware"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,Vehicle error,,,,,,,,,,,,,,,,,,,,,,,,
37,Unable To Follow Route,The vehicle requires the remote operator to select a destination to allow it to reroute in order to allow it to continue proceeding. ,Amber - Action Required,,No,"Yes, Technical MI",INFO,,Reselect the previously requested destination to allow APM to reroute and continue. Check on the APM's newly planned route and current location.,v5.33.31,"Manual Intervention /
Navigation",,,TRUE,Tested,Tested,N/A,Implemented,,From Action Advisor module,,,,,,,,,,,,,,,,,,,,,,,,
38,Message Corruption: Control Command not executed,The control command message received from MQTT was detected as corrupted.,Amber,,No,No,INFO,,,v5.33.31,"Operations /
Informational",,,FALSE,Tested,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Odometry Consistency Error 1,A critical inconsistency was detected between the vehicle dashboard and wheel encoder data.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.39.13,"Hardware /
Other Sensors"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,"if usbcan_velocity_vehicle is more than 3km/h, then if usbcan_velocity is 0 ( or abs value is less than 0.1 ) and it happens for more than 0.5s",,,,,,,,,,,,,,,,,,,,,,,,
40,Odometry Consistency Error 2,A critical inconsistency was detected between the vehicle dashboard and wheel encoder data.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.39.13,"Hardware /
Other Sensors"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,"if usbcan_velocity_vehicle is more than 3km/h, then if usbcan_velocity and usbcan_velocity_vehicle difference is more than 3 km/h for 1sec ",,,,,,,,,,,,,,,,,,,,,,,,
42,Drive By Wire Error,The vehicle is not receiving CAN messages from the drive by wire.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Primary Board"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,usbcan lls 1s timeout,,FT-005,,,,,,,,,,,,,,,,,,,,,,
43,Relay Board Connection Error,"Drive by wire cannot detect the connection to the relay board, which controls the signal lights. The vehicle will do a stop in this case as this is a driving hazard.",Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Primary Board"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
44,External Emergency Stop Device Connection Error,The vehicle cannot detect the connection of the External Emergency Stop Device.,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.38.4,"Manual Intervention /
Emergency Response","1. Perform a soft reboot. When the stack is launched, make sure the ""Use external remote emergency stop device:"" option is not selected. 
2. If alert persist, send to SR for further checks.",,TRUE,Tested,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
45,External Emergency Stop Device High Latency 1,The vehicle detects that the connection of the External Emergency Stop Device has a high latency.,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.39.13,"Manual Intervention /
Emergency Response","1. Perform a soft reboot. When the stack is launched, make sure the ""Use external remote emergency stop device:"" option is not selected. 
2. If alert persist, send to SR for further checks.",,TRUE,Tested,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
48,EHMI Driver Error,The EHMI driver is reporting an error. The EHMI panels on the vehicle may not be displayed correctly.,Amber - Action Required,,No,No,WARNING,,,v5.33.31,"Hardware /
EHMI"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,FALSE,Tested,N/A,N/A,Draft,,,,,"1. UNKNOWN_HOST
2. IO_ERROR
3. SEND_FILE_NAME_NOT_RECV_ERROR
4. SEND_FILE_NAME_RECV_ERROR
5. SEND_FILE_BLOCK_NOT_RECV_ERROR
6. SEND_FILE_BLOCK_RECV_ERROR
7. SEND_FILE_BLOCK_NOT_RECV_END_ERROR
8. SEND_FILE_BLOCK_RECV_END_ERROR
9. PLAY_LIST_NOT_RECV_ERROR
10. PLAY_LIST_RECV_ERROR
11. SEND_NOT_RECV_ERROR
12. SEND_RECV_ERROR
13. FILE_NOT_EXIST_ERROR
14. SOCKET_ERROR
15. PARAM_ERROR",,,,,,,,,,,,,,,,,,,,,
50,Brake Reservoir Recharge In Progress,The vehicle is currently performing a 70% throttle in neutral gear with parking brakes engaged to recharge the brake reservoirs.,Amber,Vehicle performs Temporary Hard Stop,No,No,INFO,,,v6.11.12,"Hardware /
Brake",,,FALSE,Tested,Tested,N/A,Draft,,,,,"Current pressure as float
5.8 bars < Pressure < 7 bars",,,,,,,,,,,,,,,,,,,,,
51,Parking Brake Enabled,The parking brake on the vehicle is active. The vehicle may need some time to disengage the parking brake in order to continue movement.,Amber,,No,No,INFO,,,v5.33.31,"Hardware /
Brake","1. Check if hand brake is released and parking brake light is off.
2. Check if the dashboard brake reservoir pressure is more than 6.5 bar.
3. If alert persist, send to SR for further checks",,TRUE,Tested,Tested,N/A,Draft,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Physical E-Stop Button Pressed,One of the physical emergency stop buttons on the vehicle is pressed. This results in an emergency stop where all the brake pressure in the brake reservoirs are consumed to stop the vehicle.,Red,Vehicle performs Emergency Stop and then Pause,Yes,No,FATAL,Check E-Stop,,v6.11.12,"Manual Intervention /
Emergency Response","1. Check all Estop is released, if able to solve perform link-up and resume.
2. If issue persist, re-connect 7pin spring cable, if able to solve perform link-up and resume.
3. If alert persist, send to SR for further checks.",Also switches vehicle from OP to MA mode and RO will not be able to link up.,TRUE,Tested,Tested,N/A,N/A,,Also switches vehicle from OP to MA mode and RO will not be able to link up.,,,,,,,,,,,,,,,,,,,,,,,,
54,Spreader For Loading/Offloading Detected,The vehicle detects a spreader that will conduct the loading/offloading for it. It cannot move or SSA until the spreader is over the safety height.,Amber,,No,No,INFO,,,v5.33.31,"Operations /
Informational",,,TRUE,Tested,Implemented,Implemented,Implemented,,"From Action Advisor module, From Spreader Detection module",,,,,,,,,,,,,,,,,,,,,,,,
55,External Emergency Stop Device Activated,The vehicle detects that the External Emergency Stop Device is activated.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,Investigate why the emergency button was activated.,v5.38.4,"Manual Intervention /
Emergency Response","1. Perform a soft reboot. When the stack is launched, make sure the ""Use external remote emergency stop device:"" option is not selected. 
2. If alert persist, send to SR for further checks.",,TRUE,Tested,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Brake Air Reservoir Connection Error,There is a connection error with the brake air reservoir.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Primary Board","1. Check if ignition switch is at 'I'  position.
2. If alert persist, perform hard reboot.
3. If alert persist,  send to SR for further checks.",,TRUE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
58,High Cabin Temperature,The cabin temperature in the vehicle is abnormally high (> 40°C). The air conditioning may not be working inside the vehicle.,Amber,,No,No,INFO,,,v5.33.31,"Operations /
Environment","1. Ensure that A/C's is cold and air flow is at max position if not, shutdown for 10min to cool down the system. Then resume.
2. If alert persist, report SR to check further.",,FALSE,Tested,Tested,N/A,N/A,,,,,"Temperature as float
40 < Value <= 45.0",,,,,,,,,,,,,,,,,,,,,
59,Steering Angle Range Error,The Drive By Wire detects that it received a steering command outside of +-720 degrees range.,Amber - Action Required,,No,No,WARNING,,,v5.39.13,"Venti /
Middleware"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,FALSE,Tested,Tested,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
60,External Emergency Stop Device High Latency 2,The vehicle detects that the connection of the External Emergency Stop Device has a high latency.,Red,Vehicle performs Hard Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.39.13,"Manual Intervention /
Emergency Response","1. Perform a soft reboot. When the stack is launched, make sure the ""Use external remote emergency stop device:"" option is not selected. 
2. If alert persist, send to SR for further checks.",,TRUE,Tested,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Brake Reservoir Pressure Recharge Failed,The vehicle has determined that there is a hardware issue because recharge of brake reservoir pressure has exceeded the time limit of 1 minute and the detected brake reservoir pressure is still lower than 7 bars. This error will not go away unless the operator performs a soft reboot.,Red,Vehicle performs Hard Stop and then Pause,Yes,No,FATAL,Soft reboot required,,v5.36.5,"Hardware /
Brake","1. Perform soft reboot.
2. If alert persist, send to SR for further checks.",Venti to review on what the recomended action should be,TRUE,Tested,Implemented,N/A,Draft,,Brake recharge triggered automatically when triggering Critically Low Brake Pressure (below 5.5 bar). ,,,"Time spent recharging as float
value > 60.0",,,,,,,,,,,,,,,,,,,,,
62,Stopping For Brake Reservoir Pressure Recharge,The vehicle is performing a stop in order to initiate the brake reservoir recharge sequence.,Amber,Vehicle performs Temporary Soft Stop,No,No,INFO,,,v6.11.12,"Hardware /
Brake",,,TRUE,Tested,Implemented,N/A,Draft,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Tire Pressure Sensor Fault (Left Front),The tire pressure sensor is malfunctioning. The vehicle will not be able to detect if there is low tire pressure in the specified tire.,Amber - Action Required,,No,No,WARNING,,,v5.33.31,"Hardware /
Tire","1. Perform soft reboot.
2. If alert persist, send to SR for further checks.",,FALSE,Tested,Tested,N/A,Draft,,,,FT-015,,,,,,,,,,,,,,,,,,,,,,
66,Tire Pressure Sensor Fault (Right Front),The tire pressure sensor is malfunctioning. The vehicle will not be able to detect if there is low tire pressure in the specified tire.,Amber - Action Required,,No,No,WARNING,,,v5.33.31,"Hardware /
Tire","1. Perform soft reboot.
2. If alert persist, send to SR for further checks.",,FALSE,Tested,Tested,N/A,Draft,,,,FT-015,,,,,,,,,,,,,,,,,,,,,,
67,Tire Pressure Sensor Fault (Left Rear),The tire pressure sensor is malfunctioning. The vehicle will not be able to detect if there is low tire pressure in the specified tire.,Amber - Action Required,,No,No,WARNING,,,v5.33.31,"Hardware /
Tire","1. Perform soft reboot.
2. If alert persist, send to SR for further checks.",,FALSE,Tested,Tested,N/A,Draft,,,,FT-015,,,,,,,,,,,,,,,,,,,,,,
68,Tire Pressure Sensor Fault (Right Rear),The tire pressure sensor is malfunctioning. The vehicle will not be able to detect if there is low tire pressure in the specified tire.,Amber - Action Required,,No,No,WARNING,,,v5.33.31,"Hardware /
Tire","1. Perform soft reboot.
2. If alert persist, send to SR for further checks.",,FALSE,Tested,Tested,N/A,Draft,,,,FT-015,,,,,,,,,,,,,,,,,,,,,,
69,AVCS Disconnected,The vehicle has detected that AVCS connection was lost for a period of time.,Amber - Action Required,,No,No,WARNING,,,v5.33.31,"PSA /
Network"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,FALSE,Tested,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Front Brake Fault Detected,A fault is detected on the front brakes. This alert is currently in shadow mode for observation on its accuracy.,No Display,,No,No,INFO,,,v7.0.21,"Hardware /
Brake",,,FALSE,Tested,Implemented,Implemented,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Rear Brake Fault Detected,A fault is detected on the rear brakes. This alert is currently in shadow mode for observation on its accuracy.,No Display,,No,No,INFO,,,v7.0.21,"Hardware /
Brake",,,FALSE,Tested,Implemented,Implemented,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
75,High Brake Feedback Noise (Rear Brakes),The vehicle detects that there is a high amount of brake noise coming from the vehicle. This will result in issues with the autonomy behavior.,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.46.11,"Hardware /
Brake","1. Drain air from 3 brake air reservoirs.
2. if alert persist, send to SR for further checks.",,TRUE,Tested,Tested,Implemented,N/A,,,,FT-012,"Current rear brake percentage as float
Value > 4.0",,,,,,,,,,,,,,,,,,,,,
