SPN,FMI,Foutcodelijst,Foutcode,Omschrijving,Categorie,Oorzaak,Effect,Aangeraden actie
70,5,Terberg - CC2 (ytxx3) - 4.1,Park brake pressure sensor,Park brake pressure sensor short circuit to ground,Warning,The controller measures a current below 1000 µA for at least 100ms on pin 66 of connector A,"- The park brake telltale will blink at 2 Hz in the dashboard view
- The park brake status will be broadcasted as ""Error"" on the CAN bus, therefor 3rd party systems (Engine, Transmission, etc) may report faultcodes as well","- The park brake pressure sensor circuit is described in Electric Diagram of the YTCC2
- Measure the current of the park brake pressure sensor, valid range is between 4 and 20 mA
- Measure the suppply voltage, this must be equal to KL15 voltage
- Replace park brake pressure sensor"
70,6,Terberg - CC2 (ytxx3) - 4.1,Park brake pressure sensor,Park brake pressure sensor short circuit to battery,Warning,The IFM controller can't measure a current above 20.0000 µA on pin 66 of connector A. Therefor this DTC shall not be set,"- The park brake telltale will blink at 2 Hz in the dashboard view
- The park brake status will be broadcasted as ""Error"" on the CAN bus, therefor 3rd party systems (Engine, Transmission, etc) may report faultcodes as well","- The park brake pressure sensor circuit is described in Electric Diagram of the YTCC2
- Measure the current of the park brake pressure sensor, valid range is between 4 and 20 mA
- Measure the suppply voltage, this must be equal to KL15 voltage
- Replace park brake pressure sensor"
70,11,Terberg - CC2 (ytxx3) - 4.1,Park brake pressure sensor,Park brake pressure sensor root cause not known,Warning,"The controller determines an issue on pin 66 of connector A. Specific root cause can't be determined. Potential hardware, software, firmware or configuration issue","- The park brake telltale will blink at 2 Hz in the dashboard view
- The park brake status will be broadcasted as ""Error"" on the CAN bus, therefor 3rd party systems (Engine, Transmission, etc) may report faultcodes as well","- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
81,16,Cummins - Stage V,Engine diesel particulate filter intake pressure,P2754 - Engine diesel particulate filter intake pressure - data valid but above normal operating range - moderately severe level,Warning,,,
84,2,Cummins - Stage V,WHEEL-BASED vehicle speed,"P241 - Wheel-based vehicle speed - data erratic, intermittent or incorrect",Warning,,,
84,9,Cummins - Stage V,WHEEL-BASED vehicle speed,P3526 - Wheel-based vehicle speed - abnormal update rate,Warning,,,
84,10,Cummins - Stage V,WHEEL-BASED vehicle speed,P242 - Wheel-based vehicle speed sensor circuit tampering has been detected - abnormal rate of change,Warning,,,
84,19,Cummins - Stage V,WHEEL-BASED vehicle speed,P3525 - Wheel-based vehicle speed - received network data in error,Warning,,,
91,0,Cummins - Stage V,Accelerator pedal position 1,P148 - Accelerator pedal or lever position sensor 1 - data valid but above normal operational range - most severe level,Critical,,,
91,1,Cummins - Stage V,Accelerator pedal position 1,P147 - Accelerator pedal or lever position 1 sensor circuit frequency - data valid but below normal operating range,Critical,,,
91,2,Cummins - Stage V,Accelerator pedal position 1,"P1242 - Accelerator pedal or lever position sensor 1 - data erratic, intermittent or incorrect",Critical,,,
91,3,Cummins - Stage V,Accelerator pedal position 1,"P1358 - Accelerator pedal or lever position sensor 1 circuit - voltage above normal, or shorted to high source",Warning,,,
91,3,Terberg - CC2 (ytxx3) - 4.1,Accelerator pedal position 1,Accelerator Pedal position 1 sensor short circuit to battery,Critical,The controller measures a voltage above 4500mV for at least 100ms on pin 63 of connector A,"- When only accelerator pedal position 1 is faulty, the machine will go into limp home mode (reduced functionality to go to the workshop)
- When both accelerator pedal positions are faulty, the engine will only run at low idle speed
- The accelerator pedal position 1 is a safety critical input, therefor the fault will only be reset after a key cycle","- The accelerator pedal position circuit is described in Electric Diagram of the YTCC2
- Measure the voltage in the accelerator pedal position 1 circuit, valid range is between 1150 - 4150 mV
- Measure the suppply voltage, this must be 5V
- Measure the grounding of the accelerator pedal position 1 circuit, make sure the ignition is inactive
- Replace accelerator pedal"
91,3,Allison - Gen 5,Pedal position sensor,Pedal Position Sensor Circuit High Voltage,Warning,,,
91,4,Allison - Gen 5,Pedal position sensor,Pedal Position Sensor Circuit Low Voltage,Warning,,,
91,4,Terberg - CC2 (ytxx3) - 4.1,Accelerator pedal position 1,Accelerator Pedal position 1 sensor short circuit to ground,Critical,The controller measures a voltage below 800mV for at least 100ms on pin 63 of connector A,"- When only accelerator pedal position 1 is faulty, the machine will go into limp home mode (reduced functionality to go to the workshop)
- When both accelerator pedal positions are faulty, the engine will only run at low idle speed
- The accelerator pedal position 1 is a safety critical input, therefor the fault will only be reset after a key cycle","- The accelerator pedal position circuit is described in Electric Diagram of the YTCC2
- Measure the  voltage in the accelerator pedal position 1 circuit
- Measure the suppply voltage, this must be 5V
- Measure the grounding of the accelerator pedal position 1 circuit, make sure the ignition is inactive
- Replace accelerator pedal"
91,4,Cummins - Stage V,Accelerator pedal position 1,"P1359 - Accelerator pedal or lever position sensor 1 circuit - voltage below normal, or shorted to low source",Warning,,,
91,8,Allison - Gen 5,Pedal position sensor,Throttle position sensor PWM signal high / low,Warning,,,
91,9,Cummins - Stage V,Accelerator pedal position 1,P3326 - Sae j1939 multiplexed accelerator pedal or lever sensor system - abnormal update rate,Critical,,,
91,11,Terberg - CC2 (ytxx3) - 4.1,Accelerator pedal position 1,Accelerator Pedal position 1 root cause not known,Critical,"The controller determines an issue on pin 63 of connector A. Specific root cause can't be determined. Potential hardware, software, firmware or configuration issue","- When only accelerator pedal position 1 is faulty, the machine will go into limp home mode (reduced functionality to go to the workshop)
- When both accelerator pedal positions are faulty, the engine will only run at low idle speed
- The accelerator pedal position 1 is a safety critical input, therefor the fault will only be reset after a key cycle","- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
91,19,Cummins - Stage V,Accelerator pedal position 1,P1515 - Sae j1939 multiplexed accelerator pedal or lever sensor system - received network data in error,Critical,,,
93,2,Cummins - Stage V,Engine net brake torque,"P528 - Auxiliary alternate torque validation switch - data erratic, intermittent or incorrect",Warning,,,
94,0,Cummins - Stage V,Engine fuel delivery pressure,P4615 - Engine fuel delivery pressure - data valid but above normal operational range - most severe level,Critical,,,
94,3,Cummins - Stage V,Engine fuel delivery pressure,"P546 - Fuel Delivery Pressure Sensor Circuit - Voltage Above Normal, or Shorted to High Source",Warning,,,
94,4,Cummins - Stage V,Engine fuel delivery pressure,"P547 - Fuel Delivery Pressure Sensor Circuit - Voltage Below Normal, or Shorted to Low Source",Warning,,,
94,15,Cummins - Stage V,Engine fuel delivery pressure,P2261 - Fuel pump delivery pressure - data valid but above normal operating range - least severe level,Warning,,,
94,17,Cummins - Stage V,Engine fuel delivery pressure,P2262 - Fuel pump delivery pressure - data valid but below normal operating range - least severe level,Warning,,,
94,18,Cummins - Stage V,Engine fuel delivery pressure,P2215 - Fuel pump delivery pressure - data valid but below normal operating range - moderately severe level,Warning,,,
95,16,Cummins - Stage V,Engine fuel filter differential pressure,P2372 - Fuel filter differential pressure - data valid but above normal operating range - moderately severe level ,Warning,,,
96,3,Terberg - CC2 (ytxx3) - 4.1,Fuel level sensor,FuelLevel Sensor short circuit to battery,Warning,The controller measures a resistance above 190O for at least 100ms on pin 46 of connector A,"- The fuel level will be 0% in the dashboard view
- The park brake status will be broadcasted as ""Error"" on the CAN bus, therefor 3rd party systems (Engine, Transmission, etc) may report faultcodes as well","- The fuel level sensor circuit is described in Electric Diagram of the YTCC2
- Measure the  resistance  in thefuel level sensor circuit, valid range is between 10 - 180O. Make sure the ignition switch is inactive
- Measure the grounding of the fuel level sensor circuit, make sure the ignition is inactive
- Replace fuel level sensor"
96,4,Terberg - CC2 (ytxx3) - 4.1,Fuel level sensor,FuelLevel Sensor short circuit to ground,Warning,The controller measures a resistance below 5O for at least 100 ms on pin 46 of connector A.,"- The fuel level will be 0% in the dashboard view
- The park brake status will be broadcasted as ""Error"" on the CAN bus, therefor 3rd party systems (Engine, Transmission, etc) may report faultcodes as well","- The fuel level sensor circuit is described in Electric Diagram of the YTCC2
- Measure the  resistance  in thefuel level sensor circuit, valid range is between 10 - 180O. Make sure the ignition switch is inactive
- Measure the grounding of the fuel level sensor circuit, make sure the ignition is inactive
- Replace fuel level sensor."
96,11,Terberg - CC2 (ytxx3) - 4.1,Fuel level sensor,Fuel level sensor root cause not known,Warning,"The controller determines an issue on pin 46 of connector A. Specific root cause can't be determined. Potential hardware, software, firmware or configuration issue","- The fuel level will be 0% in the dashboard view
- The park brake status will be broadcasted as ""Error"" on the CAN bus, therefor 3rd party systems (Engine, Transmission, etc) may report faultcodes as well","- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
97,0,Cummins - Stage V,Water in fuel indicator 1,P4642 - Water in fuel indicator - data valid but above normal operating range - most severe level,Critical,,,
97,3,Cummins - Stage V,Water in fuel indicator,"P428 - Water in fuel indicator sensor circuit - voltage above normal, or shorted to high source",Warning,,,
97,4,Cummins - Stage V,Water in fuel indicator,"P429 - Water in fuel indicator sensor circuit - voltage below normal, or shorted to low source",Warning,,,
97,9,Terberg - CC2 (ytxx3) - 4.1,OI Time out error,OI Message TimeOut error,Warning,The controller has not received the OI CAN message for 50s from the engine on the J1939 CAN bus,"The controller can't determine the water in fuel status, since  the data is not received from the engine. Therefor the water in fuel telltale and pop-up won't be activated.","- When the OI Time out faultcode is the only time-out faultcode, Check the engine configuration

- When the OI Time out faultcode is accompanied by Engine Node Time out faultcode:
1) Check J1939 CAN bus wiring e.g. short circuit between CAN high and CAN low, CAN bus termination not correct (60O when ignition off)
2) Check power supply, fusing and grounding of the engine controller and/or engine related subsystems"
97,15,Cummins - Stage V,Water in fuel indicator,P418 - Water in fuel indicator - data valid but above normal operating range - least severe level,Warning,,,
97,16,Cummins - Stage V,Water in fuel indicator,P1852 - Water in fuel indicator - data valid but above normal operating range - moderately severe level,Warning,,,
100,1,Cummins - Stage V,Engine oil pressure,P415 - Engine oil rifle pressure - data valid but below normal operational range - most severe level,Critical,,,
100,2,Cummins - Stage V,Engine oil pressure,"P435 - Engine oil rifle pressure - data erratic, intermittent or incorrect",Warning,,,
100,3,Cummins - Stage V,Engine oil pressure,"P135 - Engine oil rifle pressure 1 sensor circuit - voltage above normal, or shorted to high source",Warning,,,
100,4,Cummins - Stage V,Engine oil pressure,"P141 - Engine oil rifle pressure 1 sensor circuit - voltage below normal, or shorted to low source",Warning,,,
100,9,Terberg - CC2 (ytxx3) - 4.1,EFLP1 Time out error,EFLP1 Message Timeout error,Warning,The controller has not received the EFLP1 CAN message for 1500ms from the engine on the J1939 CAN bus,"The controller can't determine the engine oil  pressure status, since  the data is not received from the engine. Therefor the engine oil pressure too high and too low won't be activated.","- When the EFLP1 Time out faultcode is the only time-out faultcode, Check the engine configuration

- When the EFLP1 Time out faultcode is accompanied by Engine Node Time out faultcode:
1) Check J1939 CAN bus wiring e.g. short circuit between CAN high and CAN low, CAN bus termination not correct (60O when ignition off)
2) Check power supply, fusing and grounding of the engine controller and/or engine related subsystems"
100,18,Cummins - Stage V,Engine oil pressure,P143 - Engine oil rifle pressure - data valid but below normal operating range - moderately severe level,Warning,,,
101,0,Cummins - Stage V,Engine crankcase pressure,P556 - Crankcase pressure - data valid but above normal operational range - most severe level,Critical,,,
101,2,Cummins - Stage V,Engine crankcase pressure,"P1942 - Crankcase pressure - data erratic, intermittent or incorrect",Warning,,,
101,3,Cummins - Stage V,Engine crankcase pressure,"P1843 - Crankcase pressure circuit - voltage above normal, or shorted to high source",Warning,,,
101,4,Cummins - Stage V,Engine crankcase pressure,"P1844 - Crankcase pressure circuit - voltage below normal, or shorted to low source",Warning,,,
101,15,Cummins - Stage V,Engine crankcase pressure,P1974 - Crankcase pressure - data valid but above normal operating range - least severe level,Warning,,,
101,16,Cummins - Stage V,Engine crankcase pressure,P555 - Crankcase pressure - data valid but above normal operating range - moderately severe level,Warning,,,
102,2,Cummins - Stage V,Engine intake manifold #1 pressure,"P2973 - Intake manifold 1 pressure - data erratic, intermittent or incorrect",Warning,,,
102,3,Cummins - Stage V,Engine intake manifold #1 pressure,"P122 - Intake manifold 1 pressure sensor circuit - voltage above normal, or shorted to high source",Warning,,,
102,4,Cummins - Stage V,Engine intake manifold #1 pressure,"P123 - Intake manifold 1 pressure sensor circuit - voltage below normal, or shorted to low source",Warning,,,
102,10,Cummins - Stage V,Engine intake manifold #1 pressure,P3361 - Intake manifold 1 pressure - abnormal rate of change,Warning,,,
102,16,Cummins - Stage V,Engine intake manifold #1 pressure,P124 - Intake manifold 1 pressure - data valid but above normal operating range - moderately severe level,Warning,,,
102,18,Cummins - Stage V,Engine intake manifold #1 pressure,P125 - Intake manifold 1 pressure - data valid but below normal operating range - moderately severe level,Warning,,,
103,15,Cummins - Stage V,Engine turbocharger 1 speed,P7135 - Engine turbocharger speed - data valid but above normal operating range - least severe level,Warning,,,
103,16,Cummins - Stage V,Engine turbocharger 1 speed,P595 - Turbocharger 1 speed - data valid but above normal operating range - moderately severe level,Warning,,,
103,18,Cummins - Stage V,Engine turbocharger 1 speed,P687 - Turbocharger 1 speed - data valid but below normal operating range - moderately severe level,Warning,,,
104,18,Cummins - Stage V,Engine turbocharger lube oil pressure 1,P3917 - Engine turbocharger lube oil pressure - data valid but below normal operating range - moderately severe level,Warning,,,
105,2,Cummins - Stage V,Engine intake manifold 1 temperature,"P436 - Intake manifold 1 temperature - data erratic, intermittent or incorrect",Warning,,,
105,3,Cummins - Stage V,Engine intake manifold 1 temperature,"P153 - Intake manifold 1 temperature sensor circuit - voltage above normal, or shorted to high source",Warning,,,
105,4,Cummins - Stage V,Engine intake manifold 1 temperature,"P154 - Intake manifold 1 temperature sensor circuit - voltage below normal, or shorted to low source",Warning,,,
105,16,Cummins - Stage V,Engine intake manifold temperature,P488 - Intake manifold 1 temperature - data valid but above normal operating range - moderately severe level,Warning,,,
105,18,Cummins - Stage V,Engine intake manifold 1 temperature,P3385 - Intake manifold 1 temperature - data valid but below normal operating range - moderately severe level,Warning,,,
107,15,Cummins - Stage V,Engine air filter 1 differential pressure,P5576 - Engine air filter differential pressure - data valid but above normal operating range - least severe level,Warning,,,
107,16,Cummins - Stage V,Engine air filter 1 differential pressure,P3341 - Engine air filter differential pressure - data valid but above normal operating range - moderately severe level,Warning,,,
108,2,Cummins - Stage V,Barometric pressure,"P295 - Barometric pressure - data erratic, intermittent or incorrect",Warning,,,
108,3,Cummins - Stage V,Barometric pressure,"P221 - Barometric pressure sensor circuit - voltage above normal, or shorted to high source",Warning,,,
108,4,Cummins - Stage V,Barometric pressure,"P222 - Barometric pressure sensor circuit - voltage above normal, or shorted to low source",Warning,,,
109,3,Cummins - Stage V,Engine Coolant Pressure,"P231 - Coolant Pressure Sensor Circuit - Voltage Above Normal, or Shorted to High Source",Warning,,,
109,4,Cummins - Stage V,Engine Coolant Pressure,"P232 - Coolant Pressure Sensor Circuit - Voltage Below Normal, or Shorted to Low Source",Warning,,,
109,18,Cummins - Stage V,Engine Coolant Pressure,P233 - Coolant pressure - data valid but below normal operating range - moderately severe level,Warning,,,
110,0,Cummins - Stage V,Engine coolant temperature,P151 - Engine coolant temperature - data valid but above normal operational range - most severe level,Critical,,,
110,2,Cummins - Stage V,Engine coolant temperature,"P334 - Engine coolant temperature - data erratic, intermittent or incorrect",Warning,,,
110,3,Cummins - Stage V,Engine coolant temperature,"P144 - Engine coolant temperature 1 sensor circuit - voltage above normal, or shorted to high source",Warning,,,
110,3,Allison - Gen 5,Engine cool temp sensor 2,Engine coolant temperature sensor 2 circuit high,Warning,,,
110,4,Allison - Gen 5,Engine cool temp sensor 2,Engine coolant temperature sensor 2 circuit low,Warning,,,
110,4,Cummins - Stage V,Engine coolant temperature,"P145 - Engine coolant temperature 1 sensor circuit - voltage below normal, or shorted to low source",Warning,,,
110,15,Cummins - Stage V,Engine coolant temperature,P2963 - Engine coolant temperature - data valid but above normal operating range - least severe level,Warning,,,
110,16,Cummins - Stage V,Engine coolant temperature,P146 - Engine coolant temperature - data valid but above normal operating range - moderately severe level,Warning,,,
110,18,Cummins - Stage V,Engine coolant temperature,P2789 - Engine coolant temperature - data valid but below normal operating range - moderately severe level,Warning,,,
110,31,Cummins - Stage V,Engine coolant temperature,P2646 / P2659  - Engine coolant temperature - condition exists,Warning,,,
111,1,Cummins - Stage V,Engine coolant level,P235 - Coolant level - data valid but below normal operational range - most severe level,Critical,,,
111,2,Cummins - Stage V,Engine coolant level,"P422 - Coolant level - data erratic, intermittent or incorrect",Warning,,,
111,3,Cummins - Stage V,Engine coolant level,"P6522 - Coolant level sensor 1 circuit - voltage above normal, or shorted to high source",Warning,,,
111,4,Cummins - Stage V,Engine coolant level,"P6523 - Coolant level sensor 1 circuit - voltage below normal, or shorted to low source",Warning,,,
111,9,Cummins - Stage V,Sae j1939 multiplexing PGN timeout,P3613 - Sae j1939 multiplexing PGN timeout error - abnormal update rate,Warning,,,
111,17,Cummins - Stage V,Engine coolant level,P2448 / P5167 - Coolant level - data valid but below normal operating range - least severe level,Warning,,,
111,18,Cummins - Stage V,Engine coolant level,P197 / P3366 - Coolant level - data valid but below normal operating range - moderately severe level,Warning,,,
111,19,Cummins - Stage V,Sae j1939 multiplexing PGN timeout,P3614 - Coolant level sensor - received network data in error,Warning,,,
116,21,Allison - Gen 5,RELS Input Failed On,RELS Input Failed On,Warning,,,
119,3,Allison - Gen 5,Retarder pressure sensor,Retarder pressure sensor circuit high,Warning,,,
119,4,Allison - Gen 5,Retarder pressure sensor,Retarder pressure sensor circuit low,Warning,,,
120,3,Allison - Gen 5,Retarder oil temp sensor,Retarder oil temperature sensor circuit high,Warning,,,
120,4,Allison - Gen 5,Retarder oil temp sensor,Retarder oil temperature sensor circuit low,Warning,,,
120,15,Allison - Gen 5,Retarder oil temp sensor,Retarder oil temperature sensor over temperature condition,Warning,,,
123,9,Terberg - CC2 (ytxx3) - 4.1,TRF1 Time out error,TRF1 Message TimeOut error,Warning,The controller has not received the TRF1 CAN message for 5000 ms from the transmission on the J1939 CAN bus,"The controller can't determine the transmission oil sump sump temperature, since  the data is not received from the transmission. Therefor the transmission sump oil temperature too high won't be activated.","- When the TRF1 Time out faultcode is the only time-out faultcode, Check the transmission configuration

- When the TRF1 Time out faultcode is accompanied by Transmission Node Time out faultcode:
1) Check J1939 CAN bus wiring e.g. short circuit between CAN high and CAN low, CAN bus termination not correct (60O when ignition off)
2) Check power supply, fusing and grounding of the transmission controller and/or engine related subsystems"
157,0,Cummins - Stage V,Engine injector metering rail 1 pressure,P449 - Injector metering rail 1 pressure - data valid but above normal operational range - most severe level,Critical,,,
157,1,Cummins - Stage V,Engine injector metering rail 1 pressure,P2249 - Injector Metering Rail 1 Pressure - Data Valid but Below Normal Operational Range - Most Severe Level,Warning,,,
157,3,Cummins - Stage V,Engine injector metering rail 1 pressure,"P451 - Injector metering rail 1 pressure sensor circuit - voltage above normal, or shorted to high source",Warning,,,
157,4,Cummins - Stage V,Engine injector metering rail 1 pressure,"P452 - Injector metering rail 1 pressure sensor circuit - voltage below normal, or shorted to low source",Warning,,,
157,7,Cummins - Stage V,Engine injector metering rail 1 pressure,P755 - Injector metering rail 1 pressure - mechanical system not responding or out of adjustment,Warning,,,
157,15,Cummins - Stage V,Engine injector metering rail 1 pressure,P4727 - Injector metering rail 1 pressure - data valid but above normal operating range - least severe level,Warning,,,
157,16,Cummins - Stage V,Engine injector metering rail 1 pressure,P553 - Injector metering rail 1 pressure - data valid but above normal operating range - moderately severe level ,Warning,,,
157,18,Cummins - Stage V,Engine injector metering rail 1 pressure,P559 - Injector metering rail 1 pressure - data valid but below normal operating range - moderately severe level,Warning,,,
158,2,Allison - Gen 5,System voltage performance,System voltage performance,Warning,,,
158,3,Allison - Gen 5,System voltage performance,System voltage performance,Warning,,,
158,4,Allison - Gen 5,System voltage performance,System Voltage low,Warning,,,
160,2,Allison - Gen 5,Countershaft speed sens perform,Countershaft speed sens perform,Warning,,,
160,4,Allison - Gen 5,Countershaft speed sens perform,Countershaft speed sens perform,Warning,,,
160,21,Allison - Gen 5,Countershaft speed sens perform,Countershaft speed sens perform,Warning,,,
168,2,Allison - Gen 5,TCM power input,TCM power input signal performance,Warning,,,
168,3,Allison - Gen 5,TCM power input,TCM power input signal high,Warning,,,
168,4,Allison - Gen 5,TCM power input,TCM power input signal low,Warning,,,
168,14,Allison - Gen 5,TCM power input,TCM power input signal,Warning,,,
168,15,Cummins - Stage V,Battery potential / power input 1,P6256 - Battery 1 voltage - data valid but above normal operating range - moderately severe level,Warning,,,
168,17,Cummins - Stage V,Battery potential / power input 1,P3724 / P6257 - Battery 1 voltage - data valid but below normal operating range - least / moderately severe level,Warning,,,
171,2,Cummins - Stage V,Ambient air temperature,"P2398 - Ambient air temperature - data erratic, intermittent or incorrect",Warning,,,
171,3,Cummins - Stage V,Ambient air temperature,"P249 - Ambient air temperature sensor 1 circuit - voltage above normal, or shorted to high source",Warning,,,
171,4,Cummins - Stage V,Ambient air temperature,"P256 - Ambient air temperature sensor 1 circuit - voltage below normal, or shorted to low source",Warning,,,
171,9,Cummins - Stage V,Ambient air temperature,P3531 - Ambient air temperature - abnormal update rate,Warning,,,
171,19,Cummins - Stage V,Ambient air temperature,P3532 - Ambient air temperature - received network data in error,Warning,,,
174,0,Cummins - Stage V,Engine fuel temperature 1,P266 - Engine fuel temperature - data valid but above normal operational range - most severe level,Critical,,,
174,2,Cummins - Stage V,Engine fuel temperature 1,"P535 - Engine fuel temperature - data erratic, intermittent or incorrect",Warning,,,
174,3,Cummins - Stage V,Engine fuel temperature 1,"P263 - Engine Fuel Temperature Sensor 1 Circuit - Voltage Above Normal, or Shorted to High Source",Warning,,,
174,4,Cummins - Stage V,Engine fuel temperature 1,"P265 - Engine Fuel Temperature Sensor 1 Circuit - Voltage Below Normal, or Shorted to Low Source",Warning,,,
174,16,Cummins - Stage V,Engine fuel temperature 1,P261 - Engine fuel temperature - data valid but above normal operating range - moderately severe level,Warning,,,
175,0,Cummins - Stage V,Engine oil temperature 1,P214 - Engine Oil Temperature - Data Valid but Above Normal Operational Range - Most Severe Level,Critical,,,
175,2,Cummins - Stage V,Engine oil temperature 1,"P425 - Engine oil temperature - data erratic, intermittent or incorrect",Warning,,,
175,3,Cummins - Stage V,Engine oil temperature 1,"P6524 - Engine oil temperature sensor 1 circuit - voltage above normal, or shorted to high source",Warning,,,
175,4,Cummins - Stage V,Engine oil temperature 1,"P6525 - Engine oil temperature sensor 1 circuit - voltage below normal, or shorted to low source",Warning,,,
175,16,Cummins - Stage V,Engine oil temperature 1,P421 - Engine oil temperature - data valid but above normal operating range - moderately severe level,Warning,,,
177,2,Allison - Gen 5,Transmission fluid temp sensor,Transmission fluid temperature sensor circuit performance,Warning,,,
177,3,Allison - Gen 5,Transmission fluid temp sensor,Transmission fluid temperature sensor circuit high,Warning,,,
177,4,Allison - Gen 5,Transmission fluid temp sensor,Transmission fluid temperature sensor circuit low,Warning,,,
177,15,Allison - Gen 5,Transmission fluid temp sensor,Transmission fluid over temperature condition,Warning,,,
188,16,Cummins - Stage V,"Engine speed at idle, point 1",P3715 - Engine speed at idle - data valid but above normal operating range - moderately severe level,Warning,,,
188,18,Cummins - Stage V,"Engine speed at idle, point 1 (engine configuration)",P3716 - Engine speed at idle - data valid but below normal operating range - moderately severe level,Warning,,,
190,0,Cummins - Stage V,Engine speed,P234 - Engine crankshaft speed/position - data valid but above normal operational range - most severe level,Critical,,,
